Symbol,Date,Type,Quantity,Price,Proceeds,Commission
AEIS,2024-10-09,BUY,120.0,107.26,12871.2,25.74
BA,2024-12-19,BUY,50.0,177.61,8880.5,17.76
CFLT,2025-02-13,BUY,220.0,36.51,8032.2,16.06
CFLT,2025-04-08,BUY,430.0,21.35,9180.5,18.36
CYBR,2024-07-02,SELL,-60.0,270.0,16200.0,32.4
ESTC,2025-05-12,SELL,-8.0,89.68,717.44,9.95
ESTC,2025-05-12,SELL,-72.0,89.68,6456.96,4.4
ESTC,2025-05-12,SELL,-20.0,89.68,1793.6,3.59
FROG,2025-02-07,SELL,-150.0,37.1,5565.0,11.13
FRSH,2024-10-09,SELL,-880.0,11.1,9768.0,19.54
FRSH,2024-10-09,SELL,-100.0,11.1,1110.0,2.22
HOOD,2024-11-20,SELL,-550.0,37.5,20625.0,41.25
HUBS,2024-11-12,SELL,-45.0,695.0,31275.0,62.55
LRN,2024-10-16,BUY,102.0,67.0,6834.0,13.67
LRN,2024-11-08,SELL,-160.0,102.0,16320.0,32.64
LRN,2024-11-08,SELL,-40.0,102.0,4080.0,8.16
NET,2025-04-04,BUY,28.0,99.0,2772.0,9.95
NET,2025-04-04,BUY,122.0,99.0,12078.0,19.75
NET,2025-02-07,SELL,-113.0,157.0,17741.0,35.48
NET,2025-05-01,SELL,-40.0,124.0,4960.0,9.95
NET,2025-05-01,SELL,-12.0,124.0,1488.0,2.95
NET,2025-05-01,SELL,-48.0,124.0,5952.0,11.9
NVDA,2025-04-07,BUY,120.0,87.46,10495.2,20.99
NVDA,2025-04-09,SELL,-120.0,107.0,12840.0,25.68
PAYO,2024-11-05,SELL,-348.0,10.0,3480.0,9.95
PAYO,2024-11-05,SELL,-452.0,10.0,4520.0,6.05
PD,2024-10-09,SELL,-150.0,18.0,2700.0,9.95
PUBM,2025-06-30,SELL,-510.0,11.84,6038.4,12.08
RSKD,2025-06-27,SELL,-1100.0,5.0,5500.0,11.0
RSKD,2025-06-27,SELL,-5.0,5.0,25.0,0.05
RSKD,2025-06-27,SELL,-1645.0,5.0,8225.0,16.45
RSKD,2025-06-27,SELL,-100.0,5.0,500.0,1.0
SNOW,2024-07-03,BUY,90.0,141.9,12771.0,25.54
SPXU,2024-12-19,BUY,190.0,22.45,4265.5,9.95
SPXU,2024-12-19,BUY,810.0,22.45,18184.5,34.95
SPXU,2025-05-01,BUY,500.0,22.68,11340.0,22.68
SPXU,2025-05-14,BUY,500.0,19.7,9850.0,19.7
SPXU,2025-04-04,SELL,-700.0,31.3,21910.0,43.82
SPXU,2025-04-04,SELL,-10.0,31.3,313.0,0.63
SPXU,2025-04-04,SELL,-25.0,31.3,782.5,1.56
SPXU,2025-04-04,SELL,-265.0,31.3,8294.5,16.59
TAL,2024-09-30,SELL,-500.0,12.43,6215.0,12.43
TSM,2025-04-07,BUY,80.0,134.64,10771.2,21.54
TSM,2025-04-09,SELL,-80.0,158.0,12640.0,25.28
TWLO,2024-12-12,SELL,-150.0,115.0,17250.0,34.5
AUD.USD,2024-07-26,BUY,758.14,0.65945,499.96,0.0
AUD.USD,2024-09-25,BUY,19805.05,0.68234,13513.78,0.0
AUD.USD,2024-09-25,BUY,19805.05,0.686,13586.26,0.0
AUD.USD,2024-09-26,BUY,0.88127112,0.69329416,0.61,0.0
AUD.USD,2024-10-16,BUY,6.34576617,0.67030519,4.25,0.0
AUD.USD,2024-12-25,BUY,105061.4,0.6279,65968.05,0.0
AUD.USD,2024-12-26,BUY,0.0029627,0.62553863,0.0,0.0
AUD.USD,2024-12-26,BUY,3.33166748,0.62553863,2.08,0.0
AUD.USD,2025-04-22,BUY,42322.97,0.64253,27193.78,0.0
AUD.USD,2025-04-22,BUY,0.31545033,0.63999267,0.2,0.0
AUD.USD,2025-07-01,BUY,30768.51,0.66136,20349.06,0.0
AUD.USD,2024-07-26,SELL,-0.00409906,0.65945,0.0,0.0
AUD.USD,2024-09-25,SELL,-19805.05,0.68234,13513.78,0.0
